Business Name,NAICS Code,Industry Description
Brenntag Southwest,424690,Other Chemical and Allied Products Merchant Wholesalers
Access Corp,518210,"Data Processing, Hosting, and Related Services"
Tyson Foods,311615,Poultry Processing
Magnolia Foods,311999,All Other Miscellaneous Food Manufacturing
NoiGi Inc,541611,Administrative Management and General Management Consulting Services
Strohschein Inc,332710,Machine Shops
Quality mine control inc,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
Galaxy Freight,488510,Freight Transportation Arrangement
JW EXPRESS INC,484121,"General Freight Trucking, Long-Distance, Truckload"
GEMSA OILS,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
Brenntag Great Lakes,424690,Other Chemical and Allied Products Merchant Wholesalers
Millennium Print Group,323111,Commercial Printing (except Screen and Books)
Country Life LLC,311511,Fluid Milk Manufacturing
FOR OFFICE,453210,Office Supplies and Stationery Stores
Mediterranean Delight,311999,All Other Miscellaneous Food Manufacturing
Global Metal Recycling Inc.,423930,Recyclable Material Merchant Wholesalers
JCM Energy Plus LLC,221118,Other Electric Power Generation
Zulu 24 Inc.,541690,Other Scientific and Technical Consulting Services
N2 distributions,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers
Watco,488210,Support Activities for Rail Transportation
FEDEX LINEHAUL,492110,Couriers and Express Delivery Services
"Biowest USA, INC.",541714,Research and Development in Biotechnology (except Nanobiotechnology)
BOOE MACHINERY & SALVAGE,423830,Industrial Machinery and Equipment Merchant Wholesalers
PALOUSE PULSE LLC,311999,All Other Miscellaneous Food Manufacturing
Clean Harbors,562910,Remediation Services
Midwest Furs,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers
Nexleaf Cultivation LLC,111419,Other Food Crops Grown Under Cover
Norfolk Southern,482111,Line-Haul Railroads
US Army,928110,National Security
Meso Trucking,484121,"General Freight Trucking, Long-Distance, Truckload"
Freight Ready LLC,484121,"General Freight Trucking, Long-Distance, Truckload"
Bonei Olam,624110,Child and Youth Services
Brenntag,424690,Other Chemical and Allied Products Merchant Wholesalers
Service Equipment Co Inc,423830,Industrial Machinery and Equipment Merchant Wholesalers
URTR,485510,Charter Bus Industry
Buy Supply,425120,Wholesale Trade Agents and Brokers
Dunn's Equipment,423830,Industrial Machinery and Equipment Merchant Wholesalers
Company Molded Products Inc.,326199,All Other Plastics Product Manufacturing
NGL Terminal Supply Company,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
Waste Connections,562111,Solid Waste Collection
STG Logistics,488510,Freight Transportation Arrangement
Cerne Calcium,212399,All Other Nonmetallic Mineral Mining
FedEx Ground,492110,Couriers and Express Delivery Services
FDX,492110,Couriers and Express Delivery Services
Le Best Banana,424480,Fresh Fruit and Vegetable Merchant Wholesalers
Harrison Poultry,112340,Poultry Hatcheries
M&J Transportation Co.,484121,"General Freight Trucking, Long-Distance, Truckload"
2 Towns Cider House,312120,Breweries
Fedex Ground Linehaul,492110,Couriers and Express Delivery Services
"AIP Logistics, Inc.",488510,Freight Transportation Arrangement
Solera Source Dynamics,541613,Marketing Consulting Services
FT Cartage,484121,"General Freight Trucking, Long-Distance, Truckload"
Million Air,488119,Other Airport Operations
BNSF Railway,482111,Line-Haul Railroads
Chinook Medical Gear,339113,Surgical Appliance and Supplies Manufacturing
Cup Karts North America,711219,Other Spectator Sports
Marathon Petroleum,324110,Petroleum Refineries
MedAire,621910,Ambulance Services
Torrance Logistics Company,488510,Freight Transportation Arrangement
Abbys Catering,722310,Food Service Contractors
Ground Studio,541320,Landscape Architectural Services
Marathon Progstad,324110,Petroleum Refineries
Beacon Specialized Living Serv,623210,Residential Mental Health and Substance Abuse Facilities
TDEC,921190,Other General Government Support
Dolomite products,212319,Other Crushed and Broken Stone Mining and Quarrying
"REDMOND, INC",311991,Perishable Prepared Food Manufacturing
OLEM SHOE CORP,316210,Footwear Manufacturing
CSI Forensic Supply,423490,Other Professional Equipment and Supplies Merchant Wholesalers
LA Test Labs,541380,Testing Laboratories
Dupont,325199,All Other Basic Organic Chemical Manufacturing
Watermark,711510,"Independent Artists, Writers, and Performers"
Funtime Classic Arcades,713120,Amusement Arcades
University of Wisconsin Madison,611310,"Colleges, Universities, and Professional Schools"
"St. Julian Wine Company, Inc.",312130,Wineries
Alphalog Corporation,541511,Custom Computer Programming Services
Bravo Systems Inc.,334290,Other Communications Equipment Manufacturing
Jeffrey Zangari,541211,Offices of Certified Public Accountants
Continuum Transportation,488510,Freight Transportation Arrangement
"D. E. Hartman Trucking, Inc.",484121,"General Freight Trucking, Long-Distance, Truckload"
Nucor Steel Brandenburg,331110,Iron and Steel Mills and Ferroalloy Manufacturing
Korth Transfer,484121,"General Freight Trucking, Long-Distance, Truckload"
Spiegelberg Inc.,333249,Other Industrial Machinery Manufacturing
Safeway Transportation,485113,Bus and Other Motor Vehicle Transit Systems
Performance FoodService,424410,General Line Grocery Merchant Wholesalers
Pasco Fire Department,922160,Fire Protection
Orotex North America,336399,All Other Motor Vehicle Parts Manufacturing
State of Maryland,921120,Legislative Bodies
Windsor,551112,Offices of Other Holding Companies
Paragon Construction and Design,236220,Commercial and Institutional Building Construction
Bear Mountain Beef,311612,Meat Processed from Carcasses
Good Ground Sea Farm,112512,Shellfish Farming
Chemical Dynamics,325320,Pesticide and Other Agricultural Chemical Manufacturing
Proximity Malt,311213,Malt Manufacturing
BAKERY EXPRESS MID-ATLANTIC,311812,Commercial Bakeries
Superbloom,111419,Other Food Crops Grown Under Cover
TotalChem,424690,Other Chemical and Allied Products Merchant Wholesalers
DXP Enterprises Inc.,423830,Industrial Machinery and Equipment Merchant Wholesalers
Laird and Company,312140,Distilleries
TOTAL SAFETY SUPPLIES & SOLUTIONS,423990,Other Miscellaneous Durable Goods Merchant Wholesalers
Forward Intermodal,488510,Freight Transportation Arrangement
ETL LLC dba Oxygenics,332919,Other Metal Valve and Pipe Fitting Manufacturing
Orlando World Center Marriott - Recreation,721110,Hotels (except Casino Hotels) and Motels
C & M Rucks Dairy inc.,112120,Dairy Cattle and Milk Production
Intermode,488510,Freight Transportation Arrangement
Verdant Landscape Architecture,541320,Landscape Architectural Services
Hess,324110,Petroleum Refineries
"ROI Biologicals, LLC",541714,Research and Development in Biotechnology (except Nanobiotechnology)
OPOTEK,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing
US NAVY,928110,National Security
Show Me Global Logistics,488510,Freight Transportation Arrangement
JUST LOGISTICS GROUP INC,488510,Freight Transportation Arrangement
Curio Wellness,446191,Food (Health) Supplement Stores
PrimativeCrow,711510,"Independent Artists, Writers, and Performers"
"Helena Agri-Enterprises, LLC",325320,Pesticide and Other Agricultural Chemical Manufacturing
Lincoln Contractors Supply,444190,Other Building Material Dealers
CHS South Central,424510,Grain and Field Bean Merchant Wholesalers
Ascend Illinois,621420,Outpatient Mental Health and Substance Abuse Centers
"Josh Packaging, Inc",322211,Corrugated and Solid Fiber Box Manufacturing
Mantle Landscape Architecture,541320,Landscape Architectural Services
Chobani Idaho,311511,Fluid Milk Manufacturing
Downstream Trading LLC,424490,Other Grocery and Related Products Merchant Wholesalers
Whole Cubes LLC,311999,All Other Miscellaneous Food Manufacturing
Minnesota Freezer Warehouse Company,493120,Refrigerated Warehousing and Storage
Petco,453910,Pet and Pet Supplies Stores
liebers kosher foods,311412,Frozen Specialty Food Manufacturing
CAMACO,336360,Motor Vehicle Seating and Interior Trim Manufacturing
USA Martial arts,611620,Sports and Recreation Instruction
Pepsi,312111,Soft Drink Manufacturing
Brandon Mason Cattle Co. LLC,112111,Beef Cattle Ranching and Farming
United Metro Energy,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
Rapid Intermodal,488510,Freight Transportation Arrangement
Yiqihe Inc,424480,Fresh Fruit and Vegetable Merchant Wholesalers
Standard Fire Protection,423990,Other Miscellaneous Durable Goods Merchant Wholesalers
Modern Transportation Services LLC,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance"
EASTERN AERO MARINE,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing
Beaupre Fuels,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
walls gator farm II,112990,All Other Animal Production
MT BAKER PRODUCTS,321219,Reconstituted Wood Product Manufacturing
Bill's Distributing,424810,Beer and Ale Merchant Wholesalers
All Wholesale LLC,423990,Other Miscellaneous Durable Goods Merchant Wholesalers
FF Propane,454310,Fuel Dealers
BAY SHIP YACHT,336611,Ship Building and Repairing
Prospect Park Alliance,813319,Other Social Advocacy Organizations
Lighthouse Film Company,512110,Motion Picture and Video Production
We Ship Express,488510,Freight Transportation Arrangement
Country Partners Coop,424510,Grain and Field Bean Merchant Wholesalers
Climate Control,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
"Roaring Spring Park, LLC",713940,Fitness and Recreational Sports Centers
WARDLEY INDUSTRIAL INC,332996,Fabricated Pipe and Pipe Fitting Manufacturing
Clark Auction Company,561990,All Other Support Services
FedEx Ground,492110,Couriers and Express Delivery Services
Greater Pine Island Water,221310,Water Supply and Irrigation Systems
Metro Ports,488320,Marine Cargo Handling
D R Schaal Agency Inc.,524210,Insurance Agencies and Brokerages
Traplines North Taxidermy Services,712130,Zoos and Botanical Gardens
Fastenal,423710,Hardware Merchant Wholesalers
Hagen Transfer,484110,"General Freight Trucking, Local"
Cardinal Health,424210,Drugs and Druggists' Sundries Merchant Wholesalers
National Consolidation Services,488510,Freight Transportation Arrangement
FedEx Ground- Attn Linehaul,492110,Couriers and Express Delivery Services
"Premier Timber and Veneer, LLC",321113,Sawmills
Southern Illinois Motor Xpress,484121,"General Freight Trucking, Long-Distance, Truckload"
"Vienna Beef, LTD.",311611,Animal (except Poultry) Slaughtering
"LLB Investments, LLC dba Korth Transfer",484121,"General Freight Trucking, Long-Distance, Truckload"
KENTUCKY CENTRAL FILL,452311,Warehouse Clubs and Supercenters
J&P Transport,484121,"General Freight Trucking, Long-Distance, Truckload"
Oakley Transport,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance"
Fedex Ground,492110,Couriers and Express Delivery Services
GEM PUBLICATIONS INC,511120,Periodical Publishers
Esmar Distribution Inc.,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers
Southern Core Recycling,423930,Recyclable Material Merchant Wholesalers
Watco,488210,Support Activities for Rail Transportation
CAROLINA SCALES INC,333997,Scale and Balance (except Laboratory) Manufacturing
Port of Wilmington Cold Storage (PWCS),493120,Refrigerated Warehousing and Storage
Norfolk Southern,482111,Line-Haul Railroads
Austin Bin Wash LLC,561790,Other Services to Buildings and Dwellings
Black River Commodities,424510,Grain and Field Bean Merchant Wholesalers
Performance Cold Storage,493120,Refrigerated Warehousing and Storage
D&D Ingredients LLC,311119,Other Animal Food Manufacturing
Kelvin Cooperage,321920,Wood Container and Pallet Manufacturing
Falcon Express,492110,Couriers and Express Delivery Services
Today Cartage Inc.,484110,"General Freight Trucking, Local"
Blendex,311999,All Other Miscellaneous Food Manufacturing
PL Developments,325412,Pharmaceutical Preparation Manufacturing
4D Trucking and Logistics,484121,"General Freight Trucking, Long-Distance, Truckload"
CF Cold Storage,493120,Refrigerated Warehousing and Storage
Case Farms,112340,Poultry Hatcheries
4D Trucking,484121,"General Freight Trucking, Long-Distance, Truckload"
PVS MINIBULK,424690,Other Chemical and Allied Products Merchant Wholesalers
Cargill,311119,Other Animal Food Manufacturing
Sweet Street Desserts Inc.,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
Keystone Water Company,312112,Bottled Water Manufacturing
Magnolia Foods LLC,311999,All Other Miscellaneous Food Manufacturing
Idaho Falls - Main Warehouse,493110,General Warehousing and Storage
PSS DISTRIBUTION SERVICES,488510,Freight Transportation Arrangement
"Freight Tech Cartage, Inc.",488510,Freight Transportation Arrangement
SCHMUHL BROTHERS INC,311119,Other Animal Food Manufacturing
Singh Trucklines,484121,"General Freight Trucking, Long-Distance, Truckload"
New Tech Packaging,322211,Corrugated and Solid Fiber Box Manufacturing
US 1 Logistics,488510,Freight Transportation Arrangement
CKB TRANSPORTATION,484121,"General Freight Trucking, Long-Distance, Truckload"
Freedom Railcar Solutions,336510,Railroad Rolling Stock Manufacturing
Brenntag,424690,Other Chemical and Allied Products Merchant Wholesalers
Red Bird Carriers,484121,"General Freight Trucking, Long-Distance, Truckload"
Eagle Intermodal,488210,Support Activities for Rail Transportation
ASI Displays,339950,Sign Manufacturing
Ernest Packaging,424130,Industrial and Personal Service Paper Merchant Wholesalers
AMERICAN PACKAGING LLC,322211,Corrugated and Solid Fiber Box Manufacturing
Jetco Delivery,484110,"General Freight Trucking, Local"
